,Movie_ID,Review,Rating,Rate
20,20," ill say right off the bat i didnt really know who jordan peele was coming into this movie i knew he had a show with keeganmichael key and was a comedian of sorts what i didnt know was that hiding underneath all that was a genuine fan of classic horror just waiting to get out

get out surprised me for a number of reasons the first is it kept me wondering what exactly was going on there was just enough there to build atmosphere and tension without giving away the surprise and it was delivered with such skill and care that it truly unfolded masterfully you know something is wrong you know something is up but you cant quite figure out what it is

and secondly this was the work of a first time director its rare that you get a movie written and directed by the same person on their first attempt and they manage to hit it out of the park

and lastly it gave us something new this is possibly the best aspect because i am sick to death of cookie cutter horror movies people nowadays have forgotten that horror doesnt just mean blood and guts before directors had to create tension and atmosphere by building the plot and unraveling the story slowly its refreshing to see this done with such care

is it a perfect movie no it isnt but its damn good especially if youre in the mood for a good psychological thriller with horror overtones",positive,8
21,21," fantastic i would not call it horror but certainly thriller with some comedy thrown into it this jordan peele fellow has managed to bring something new to this genre and i certainly hope hell do more thrillers

the cast is great and i especially enjoyed betty gabriels performance lots of faces i have never seen before and they all did a stellar job and those faces i have seen before did a stellar job too 

i do not know if the overall idea is new but the way it was presented and the way it was done feels very fresh

warmly recommended
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,5
22,22," get out is no doubt a fine horror film but it aint anything special a young black man visit along with his white girlfriend her parents its pretty obvious shortly that this is a very politicial horror film based on very stupid liberal agenda and the only reason this movie was made was to please the new pc generation like i said its a ok horror film nothing more
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,3
24,24," get out is a disappointing and highly overrated movie that fails to meet even the most basic expectations of a horrorthriller it lacks any real scares is generally ineffective in its attempts to be creepy and many of the wouldbe thrills fall flat due to the fact that the plot is for the most part completely predictable with many of the plot twists glaringly obvious

to most viewers it will be fairly obvious what is going to happen in this movie from very early on and so the big twists really dont have any impact at all i was sat there waiting for something that i hadnt seen coming  a smart and welldisguised twist that all decent thrillers have but it never arrived

even to the very last scene get out is so predictable and never even attempts to think out of the box resulting in a rather dull boring and forgettable thriller
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
27,27," there is no way this movie could have a rating over  there is absolutely nothing new in this movie no new concept a fest of cliches even the twist was almost a copy of another movie skeleton key which i did not enjoy even and if a movie calls its own genre thriller or horror then the movie should keep some level of atmosphere to make the audience tense up to some point not saying that the atmosphere was even there it was made even worse by inserting some random jokes in between the movies which of course wasnt even humorous and the character development was the worst thing in this movie as some character shows passionate caring attitude and all of the sudden heshe turns into a complete psychopath it was so abrupt that heshe would even change the way heshe speaks to a person thats not even supposed to know something happened one of the key evidence that this movie was made without brains

lets just be honest the movie makers only cared about making profit mixing horror comedy and not forgetting to insert whiteisevil richisevil theme inside with a black person as main so that you can call all negative reviewers racist and sorry im not even white then using some way to make people spam positive reviews most of them which i highly doubt even saw the movie i honestly think more effort money was spent on making positive reviews rather than the movie itself hence the low budget movie",negative,1
31,31," this movie is appropriately in a genre mr jordan peele has christened social thriller the movie creates a very unsettling feeling from the beginning that slowly builds to a crescendo that forces the viewer to see prejudices head on when all is said and done you now have kind of a birds eye view of what is wrong with society but besides that it hints a hitchcocktype of thrill that is sure to deliver goosebumps a huge congratulations to jordan peele for hitting a home run his first time up to bat looking forward to future projects from him go see get out 😀😀
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
33,33," i cant believe the high score on this film im a massive film fan and this is one of my favorite genres so trust me when i say this is very very overrated the humor falls short and it is not scary in the slightest lets be honest this is the same propaganda that is in the news right now with the black lives matter and trump rubbish this is highly irresponsible and offensive to any white person and if the film was the other way around with whites and blacks then there would be a massive backlash how many films now play the race or sexism card now this film is a blatant rip off of skeleton key but skeleton key is actually a good film so ignore all the reviews on this film cause i cant help but think it just mirrors the sad state of the victim mentality and racism that is all the rage right now avoid
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,5
34,34," this movie received incredible reviews at the time of release and so i watched it with great anticipation however i was hugely disappointed it is nothing more than a run of the mill horror with a nasty thinly veiled message beneath it that all white people are racists whilst the premise is interesting it is played like its either a pastiche or an am dram production with a hint of hammer horror the plot has no surprises and by half way through it has become boring
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
35,35," really disappointed totally predictable movie some parts really dumb like the one at the police station when all agents laughed in short this movie is a waste of time
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
36,36," ok here goes having read the reviews and seeing how polarized they were i had to check the movie out myself to all who regard the movie as racist  i dont think so any modern day theme be it racism sexism disability issues anything can be used in this movie to highhight the issues being faced by individuals it is for most part a unique genre in its own right take dusk till dawn mix it with some eugenics and a pinch of humour and bingo  yes it does make you feel uncomfortable but not in a serious way its funny in places and very clever in bits some beautiful shots and filming and menacing score keep it simmering brilliantly watch it make your own mind up personally one of the most enjoyable movies from last year bravo
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
38,38," horror really  oscar nominations really this is not a bad movie but its just an anyday movie with a plot that its predictable from the early start its just another proof that academy awards dont reflect quality of pictures anymore
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,10
40,40, the newest film made by jordan peele lives out to the hype that it madehorror comedy is one of the hardest genresor sub genres to make a movie aboutsome good examples would be evil dead  and screamthe film actually takes a subject like racism and makes it into a parody of itselfthe comedy of the movie is actually really subtle and youre not gonna walk into the movie and start laughing as a joke comes alongits a realization that can be made while watching the film or after you watched itit cant be really called a satire of horror movies because it uses the horror movie clichés more than once but the good part is that i doesnt annoy you like a lot of horror movies doone of the strengths of the movie is that you dont need to be an american to understand the storya basic knowledge about racism will be enoughbut for the clues and metaphors that are in the movie you need to pay more attention and know a little bit morethere are no jokes in the movie and even the comedy relief character lil rel howery doesnt make jokes but sells its comedy by his performance which makes him actually funny and not just an annoying side character like we see mostly in the movies right nowthe performances are great and the character choices are rational and logical unlike most horror movies we see todayallison williams does a pretty good job and actually nails the character far more better than i expectedthe cinematography is pretty good but it got distracting in two or three places of the movie but it wasnt boring and actually kept the movie pretty good lookingthe twists of the movie will actually kinda predictable but that wasnt what the movie was about and i didnt expected to be shocked since the movie doesnt take itself to seriously but serious enough to keep the plot goingthe cgi blood were kinda distracting and the movie got slow in a few places but it had the payoff and you were rewarded after the scenesthe movie is well made and deserves a second viewing in some time and i would recommend it to horror fans or if youre a fan of subtle humor and comedy,negative,3
41,41," the trailers and commercials looked awful but the reviews were great so i went to see the movie i was expecting something like an intellectual version of scary movie nope it was incredibly boring maybe the worst movie ive seen in five years i kept waiting for something to happen but nothing ever did i kept wondering how the hell did this movie get such good reviews get out was supposed to be a horrorcomedy but i got maybe three chuckles out of it the only guy who was close to being funny was the tsa agent almost nothing was scary damn i could have seen skull island instead

that said everyone else in the theater seemed to love the movie and there was some subtle humor that i thought was well done still i found it very monotonous
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
42,42," what a truly sad waste of time social commentary not even close social preaching to a progressive delusional audience apparently there is a market for such drivel based on the sanctimonious preaching in many of the pontificating s posted here gave it every chance but they kept digging a political hole deeper and deeper leaving entertainment to die a painful death here peele has done so much better this truly the worst of his message movies deserves no further mention ever
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
45,45," i wonder if i can press charges against jordan peele for robbing me of  minutes

theres nothing new or refreshing about this horrible movie its no better than a wwii nazi propaganda film theres no social commentary in this atrocious excuse of a movie but its definitely riddled with racist agitprop its like an sjws version of orwells animal farmblack people goooodwhite people baaaad instead of creating a film that would help revitalize a quickly stagnating genre jordan peele has created nothing more than a piece of propagating filth rather than trying to make a film showing the unity of the human race he drives a wedge of contention between the racesfurther fueling bigotry and hate its pompousness and arrogance that strokes the flames not genius if i could rate this drivel less than  i would stay far far away from this
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
46,46," get out no really get out

so i went to see the movie get out with some friends yesterday we had a choice between leggo batman and get out and we chose get out were still arguing about who should be blamed for that choice they list it as a horror what they dont tell you is that the horror is that someone would even make this movie ive never seen any of jordan peeles movies before this i will spend the rest of my life trying to avoid ever seeing one of his movies again the thing strives to be one of those sixth sense what a twist movies but the so called twists are so obvious unrealistic and just flat out lame that you find yourself rolling your eyes in the dark and just praying that no more twists are coming and they always are if you were to take the racial premise in this movie and reverse it there would be pickets and riots but apparently its perfectly acceptable to have a white people are evil and black people are good movie just for the record im only part white but im fully offended by the premise of this movie not to mention in the clumsy and lazy execution that doesnt bother to try to make its plot points make any sense to be fair the trailer to get out does hint that this could either be a very good movie or one of the worse that youve ever seen it comes far close to the latter and is too lazy to ever even approach the former possibility this movie really does suck it sucks despite some very good actors including catherine keener who has been superb in indie films like your friends and neighbors and bradley whitford an aaron sorkin favourite the lead actor daniel kaluuya was even in the wonderful british series the fades and skins and yet the net result the only result is just flat out stupid and predictable maybe the title get out is meant as a warning to any potential audience but probably not that would require too much effort and self awareness but the rest of us can try to help each other out in these days when going to the movies is more expensive in most places than drugs and gives you far less pleasure when in comes to get out please please for your own stakes stay out go see leggo batman i havent seen it but i wish i had",negative,1
47,47," i should have got out before the movie started

i am shocked by the high ratings this got seems like a case of the emperors new clothes to me it wasnt as clever certainly nowhere near as funny or even scary as reviews led us wife me to believe very disappointing
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
48,48," get out is full of touches and surprises strong acting excellent direction and above it its a ride a trip to a place hollywood doesnt normally go  it offers a unique experience  and in this age of copycat cookie cutter safe choice cinema it stands out by a mile

get out is that rare beast  a film that leaves you satisfied yet pondering we objected to its constant referral as a horror film  its an effective thriller with mild horror elements  but it is not a goreslasher movie  this is more about getting under the skin and inside the mind of the viewer

the plot is simple: girlfriend takes boyfriend home home is not what home seems to be fun ensues the genius of this is the way it plays on both white and black perceptions  we asked how the film would be if you reversed all the roles pretty darn effective etc

get out and see it",positive,8
50,50," this movie in a word terrible

if you want to see a comedy go see a comedy if you want to see a horror go see a horror this movie claiming to be both of those things is an insult to both genres there is no comedy or horror to be seen here

theres got to be a way to explain the hype and positive reviews about this boring movie i think its mostly because critics wouldnt dare hate on as it would label them racist

you have the feeling this is about the director up on his soapbox expressing his racism towards whites but hey its seems its ok for them to do that they get applauded for it

to sum up  boring dull slow very predictable i saw the plot unfolding a mile away not funny or scary total waste of a saturday night",positive,10
53,53," i dont want to spoil the movie so i wont say much other than this movie is extremely offensive to anyone who is of mixed racial background as i am poor quality bad taste bad ending you can do better than this movie in theaters if you have to see it wait for the netflix version youll be glad you saved your money
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
56,56," im white so i realise i should be giving this movie somewhere between a  rating to appear as woke as possible but cmon this was pretty garbage so many plot holes so many silly moments took itself way too seriously the two leads were ok did a decent job the rest of the actors i found incredibly annoying especially the brother of the girlfriend definitely not the worst movie ive seen but not worthy of the hype and high ratings
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
58,58," jordan peeles directorial debut is an exhilarating horror thriller that also manages to spark laughter and comment on social issues the cinematography tropes and soundtrack echo horror but the film finds abundant moments of comic relief like when a father reassures the main character he isnt racist by claiming i would have voted for obama for a third term before the plot delves into a traditional horror frenzy it mines the horrors of racism the social commentary plays on audience expectations and results in both humor and suspense delivering both on the expectations of the genre and the comedic expectations of a jordan peele creation get out is simply amazing
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
59,59," i went in expecting a knockout of a horror movie with a bit of humor in it according to the description and some word of mouth reviews i barely made it through the entire movie really bad writing directing and acting although i like the two leads it was nothing better than a midrange episode of twilight zone or outer limits the comedy fell just as flat as the story for me it came off as completely forced not funny at all
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
60,60," i feel so sorry for myself after trying out this movie the reviewers gave it good scores but since this movie was injected with a million different ways to make white people look racist and tons of sexual innuendo between our handsome male lead and our resident sexy white girl i guess it would have been politically incorrect for reviewers to have even a microscopic sized spine to criticize it i mean hell are you into like toenail fetishes femdom you might like a scene or two but the rest will give you cancer

i can honestly say this movies writing is worse than anything ive seen before twilight yeah its worse the acting is almost as bad especially from the supporting cast but really its just everything about the writing i bet i could have written a better film when i was in th grade i am writing this review so that you dont waste your time please dont waste your time please avoid like the plague not worth even  star piece of horse crap of a film

for the record i didnt make it past the first  minutes i dont care what happens after that i already lost  minutes ill never get back to the worst writing ive ever witnessed everyone involved in this film should be ashamed they should have just made a porno with the two lead actors",positive,10
61,61," jordan peele is a man best known as one half of the comedy duo key  peele so when i first heard the news that hed written and directed a horror film i would be lying if i said i wasnt a little surprised then came reports that get out was getting ridiculously good feedback from test screenings and after horror having a solid year in  i was hoping itd live up to expectations believe the hype guys because get out is as good as youve heard

black photographer chris washington daniel kaluuya and his white girlfriend rose armitage allison williams visit roses parents for the weekend where they will meet chris for the very first time staggered by their behaviour from the very off chris begins to think all is not right in the home of dean bradley whitford and missy armitage catherine keener

i absolutely loved get out as both a psychological and satirical horror jordan peeles imagination bringing us something quite unique within the genre and showing that he has such a big future ahead as a filmmaker right from the opening sequence which is one of the best openings to a horror ive seen i knew this film was going to be special it felt almost as if i was watching a film from a seasoned director and not a man making his directorial debut peele exuding confidence more and more as the film rises through the levels of paranoia

the writing is spot on as well peeles background as a comedian coming into great use to blend the satire so perfectly with the horror peele has clearly made get out as a form of social commentary but he does so by keeping the audience on their toes wondering where the film will turn next which is one of the most important aspects of a horror film as well as being genuinely creepy get out also has some hilarious moments up its sleeve leaving the audience in the palm of peeles hand

peeles confidence as a filmmaker is seen further through toby olivers swift cinematography akin to work seen in the shining and both michael abels haunting score and songs picked by peele to accompany his twisted film

coming to the performances get out excels above many horror films with a talented and strong cast daniel kaluuya leads the film with a quite exceptional performance as chris washington impressing with each passing minute as the paranoia within his character grows expect to see much more of kaluuya in the future

bradley whitford and catherine keener are both devilishly charming and unnerving with their performances as roses parents who take an immediate interest in chris life both past and present get out gets its truly unsettling performances from betty gabriel and marcus henderson as georgina and walter hired by deans father they both have a standout scene where it becomes clear that all is not well with either them or the house they tend to lil rel howery deserves a mention too for being genuinely funny in the role of chris best friend rod who doesnt just feel like the comedy relief shoehorned in for the sake of it

get out brilliantly continues the resurgence of the horror genre and as a directorial debut has to go down as of the best ive seen from jordan peele hes already stated that this is the first of a number of horrors he has planned which will act as social commentaries and if they continue to be as good as his debut i cannot wait",negative,1
62,62," bad cringe worthy acting stereotypical behavior which is insulting to black people the movie expects all black man apparently to act like thugs among another calling each other brother and giving fist bumps and calling women bitches full of product placement all the computers and phones used in the movie are from the same brand low level of humour transformers movie level which does appeal to the mass audience but not any self respecting intelligent human being very boring keeps you waiting for something to happen it is all a mess

do not waste your time watching the movie it is much to highly rated
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
63,63," this film is just another example of liberal political agenda what happened to good ol fashioned horror films jordan peele is a miserable failure in everything he does yet hes so full of himself
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,5
65,65," daniel k is a good actor with his perfect portrayal of the character chris the movie wasnt scary to be frank but more entertaining than most horror movies each scene in the movie means a thousand words

allison williams also played a great role as the movie villain ranging from an innocent woman who dates a black guy to a crazy and monstrous woman ready to kill to have her victims colored body hosted by older nonblacks

in all the movie was entertaining and covered the area of racial discrimination in the united states in a creative plot twisting way i recommend this movie for all  from going to old
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
66,66," actually if were not talking about characters in the movie but the viewers of the movie i urge you to stay and watch this is a clever horror comedy that does play with the viewers expectations and is also a powerful message you could almost say a social commentary but its really about having fun at the movies

and one character especially is very entertaining and does everything he can to keep things light the combination of being funny but also scary is a difficult one but the movie walks that fine line very nicely some people took issue with the theme and the bad guys in this and how or rather what they represented but if you really have issues with that than the issue lies within yourself its a completely different thing not liking a movie because youre just not into it and one arguing it is unfair to you in its depiction  youve revealed much about yourself id say

it was about time someone made a movie like this and it sets a pretty high standard great script great performances a nailbiter ",negative,1
67,67," this is not cinema this is unfiltered mind droppings
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
68,68," not an original or worthwhile piece of cinema

just more racist communist sjw cult nonsense

the media says its  awesome though which is unfortunate because the movie never really gets a laugh bigger than that wag the dog joke

in fact if you absolutely must watch a hate whitey horror comedy tales from the hood is a much much better choice
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
69,69," this is the worst movie ive seen in several years at least the movie starts off slow but somewhat interesting as soon as the plot gets going  minutes into the movie its just completely ridiculous if you know anything about hypnosis or basic logic you wont be able to watch this movie the writer doesnt even attempt to makes sense or isnt capable of doing so my girlfriend and i both had enough after  minutes in the past  years this is maybe the rd movie i couldnt watch till the end
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
70,70," the genius of this movie was all the hype about it and the sheep who fed the hype i looked at a few sites to see what it was rated and figured my wife and i like some psychological horror why not genius movie on an epic level for me even though i rated it  star out of  the true genius of this movie is showing to my wife and i how alone we are in this worldcountry and that were surrounded by a minority of actual humans but now a majority of sheep i am so honored to have watched this movie to now see so clearly this visceral portrait of americas idiocy unfolding

when the movie ended and it faded to black and those powerful words get out came up i knew right then and there that this blockbuster of a movie had finally solidified my mind into knowing i am surrounded by imbecilic sheep out there i had once doubted and thought maybe it was my age of  starting to show through and thinking man am i getting old is this how it starts but this movie transcends all age restrictions stupidity and zombielike hype needs no age no race no culture  it can shuffle forward slowly like a plague and consume more and more as we tick tock through the years to come

bravo",positive,8
71,71," get out is fantastic

when i first saw the trailer for get out i laughed hard i thought it looked awful because the trailer was so weird and strangely cut i was wrong

heres what the movie did well

get out is the best movie ive seen so far in  the story follows an africanamerican man visiting his white girlfriends house but there is so much more than just that the story is incredibly entertaining the dialogue kept the audience entertained it was funny witty smart and kept a constant pace the movie blended horror and comedy perfectly neither taking center stage the film has a lot of dark humor which im a huge fan of it worked very well with the setting and tone of the film the story has twists and turns that are very original and catches the audience off guard the story has fantastic social commentary commenting on subtle racism throughout which is very effective the story keeps the audience on the edge of their seat throughout when the comedy hits it hits hard each joke hit and were well timed the horror hits hard as well making the film disturbing and creepy when it needs to be

the technical things in this movie were amazing the lighting was consistent and gave the film a dark stylized and disturbing vibe the cinematography was fantastic each shot giving off a certain feeling which helped move along the story the music that played in this movie helped with the vibe fitting whatever scene it was in

most everyone who acted in this movie gave a fantastic performance daniel kaluuya bradley whitford and lilrel howery particularly giving great performances everyone embodied their characters perfectly and put a lot of effort into making sure their characters were believable

this film was jordan peeles directorial debate if this type of quality holds up in his future films i can see him having a long and successful career in directing the film is well paced and makes sure to keep the audience on their seat peele made sure to get fantastic performances out of his actors and did a great job creating the tone for this movie

onto the bad which there arent a lot

there was out of the whole movie one shot i didnt like there was a shot with fire in frame the fire didnt look real which took me out of the story for a split second

caleb landry joness performance was a little over acted if he acted less like a cartoon character it would have been better but it doesnt effect the movie in a major way

overall jordan pelles get out is fantastickeeping the audience on the edge of their seat when they need to be and made them laugh when the jokes hit the film is beautiful looking and the story is unique and will surprise many audience members i highly recommend get out if your looking for a quality horrorcomedy movie",negative,1
72,72, nervous about meeting his caucasian girlfriends parents a young african american struggles to work out if everyone is acting strangely around him or if it is just his imagination in this unusual mystery thriller the film is very deliberately paced with lots of malice foreshadowed but exposition only revealed in tiny chunks along the way in fact utterly unsettling as the precredits sequence is it is hard not to wonder whether the film would have been better without it since it is the only scene for quite a while that spells out the horror slant of get out beneath its quirky façade that said there are enough elements that remain elusive here that the film stays enticing until the end the final quarter also comes off as a very clever homage to the horror movies of the s complete with appropriate furniture for the period what really elevates the film though is its social satire the racism agenda is a little onthenose but the protagonists anxiety at being a token african american really clicks forced to enter into awkward conversations with several houseguests at one point who have no idea how to talk to him without sounding racist it is actually quite a universal predicament and aside from being a captivating mystery movie get out also pinpoints how strange it can be to interact in an environment when one is a minority whether it be by race religion gender age or other factors,negative,3
